file_name,frame_index,ego_x,ego_y,ego_z,ego_yaw,bbox_center_x,bbox_center_y,bbox_center_z,bbox_width,bbox_length,bbox_height,bbox_yaw,class_ID,class_label
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,183.61561185620354,-0.7659146791314276,23.936369840752874,6.141758495125417,6.204439730581299,45.78420996054443,-2.374351903986144,0,Antenna
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,163.22479449888695,-3.042227587020712,8.65753373538567,3.663840611292813,10.003173726217533,12.445114272001186,1.8141953073334776,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,116.55735456974897,74.43564520244871,7.419777412764949,3.2947854455170424,4.5104568370135905,10.82382173964525,2.369006934941677,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,202.25679825238763,71.49557012297193,21.07128299250228,2.155205930143707,6.763614808664883,6.251832685064954,2.2537819526287146,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,107.9643730871706,-94.62103170485067,2.829634532789419,0.8207759781391668,6.442991277480838,1.629410568834575,2.9362340222973597,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,213.32567113944404,-46.83942094293236,12.575548354503313,3.299504835953557,8.175468231302258,9.272294323665864,2.7891096982231907,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,164.6853541548289,-75.855781859515,9.813474449666078,10.205241764832255,13.880775537961416,5.037216166947081,0.9507906904858656,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,105.55656128729957,54.637101540575415,6.956216116053516,2.3689612569346985,3.044243800351145,9.745430113898669,1.963280049683727,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,136.8525367922063,43.32116356154353,7.033930581232922,1.2313288649351553,7.30741312446024,9.737436706072119,-2.8563726551911834,4,background
scene_1.h5,0,-168445.125,-86042.6953125,12774.3798828125,-100.79108428955078,63.580427764647894,-27.809472663902845,2.7388624506682406,0.6545375346187892,0.8824057204537941,1.349370374452468,1.0116553541913278,4,background
